properties__number,properties__name,properties__address,properties__lat,properties__lng,properties__availability,properties__code_insee,properties__bike_stands
5041,L'Homme de la Roche,"Face 56, Quai Pierre Scize",45.76658034,4.820230242,Bleu,69385,21
7008,Jean Jaurès / Guillotière,"17, Avenue Jean Jaurès",45.7525809,4.846320618,Bleu,69387,10
4009,Jacquart / Denfert-Rochereau,Rue Denfert-Rochereau,45.77589951,4.825378962,Vert,69384,14
4022,Place de la Croix-Rousse,Place de la Croix-Rousse,45.77607514,4.832553921,Vert,69384,21
10047,Lherminier / Pressensé,"2, Avenue du Commandant Lherminier",45.77112324,4.885023598,Vert,69266,15
10049,Pressensé,"294, Rue Francis de Préssensé",45.76916848,4.896769585,Vert,69266,16
7021,Challemel Lacour / Gerland,"Face 174, Rue de Gerland",45.72980587,4.838138438,Vert,69387,12
3016,Liberté / Part-Dieu,"34, Cours de la Liberté",45.75934227,4.842227587,Vert,69383,18
8015,Jean XXIII,"25, Rue Maryse Bastié",45.74032593,4.874194271,Vert,69388,16
7035,Marseille / Université,"8, Rue de l'Université",45.75095495,4.839267121,Vert,69387,40
10120,Salengro / Descartes,"39, Rue Roger Salengro",45.77624638,4.871637165,Vert,69266,15
5016,Point du Jour / Granges,"49, Avenue du Point du Jour",45.75619393,4.802711079,Vert,69385,13
9013,Quai Paul Sédaillan,"52, Quai Paul Sédallan",45.78750976,4.814421128,Vert,69389,20
3012,Place du Château,Place du Château,45.74951708,4.887285723,Vert,69383,25
10089,Colin / Perroncel,"22, Rue colin",45.77449846,4.874052327,Vert,69266,15
1031,Place de la Paix,Place de la Paix,45.76802361,4.831741252,Bleu,69381,20
10004,Tonkin,Rue Salvador Allende,45.77622101,4.862647581,Vert,69266,10
1013,Martinière,Rue de la Martinière,45.76821832,4.827621704,Vert,69381,11
26001,Saint Didier - Pasteur / Saint-Cyr,"113, Rue de St Cyr",45.79157368,4.808534635,Vert,69194,17
9010,Piscine de Vaise,"52, Rue Sidoine Apollinaire",45.77101829,4.796450349,Vert,69389,19
6028,Récamier / Tête d'Or,"10, Rue Juliette Récamier",45.7643337,4.85349213,Vert,69386,16
10034,Docteur Damidot,"46, Rue du Docteur Damidot",45.76182011,4.886133866,Vert,69266,18
3058,Place du Lac,Place du Lac,45.75888562,4.853767894,Vert,69383,19
7007,Farge / Ayasse,"117, Boulevard Yves Farge",45.73567389,4.827719156,Vert,69387,20
10072,Jacques Brel,"Face 4, Rue Jacques Brel",45.77422554,4.864286066,Vert,69266,23
1036,Aveyron,44 Bd de la Croix Rousse,45.77437162,4.832815009,Vert,69381,17
6022,Place Maréchal Lyautey,"5-6, Place Maréchal Lyautey",45.76937306,4.842317954,Vert,69386,20
23001,Tassin - Tuileries,13 Promenade des Tuileries,45.76325603,4.778610066,Vert,69244,12
3004,Bourse du travail,"Face 74, Rue de la Part-Dieu",45.75964531,4.84826656,Vert,69383,27
3034,Garibaldi / Pensionnat,"52, Rue du Pensionnat",45.75470656,4.853404447,Vert,69383,30
2030,République / Poulaillerie,"20, Rue de la Poulaillerie",45.76407235,4.835525358,Bleu,69382,32
8051,Hôpital Saint-Jean de Dieu,"313, Route de Vienne",45.72414205,4.854176443,Vert,69259,20
7057,Jaurès / Bollier,"218, Avenue Jean Jaurès",45.73472549,4.835496761,Vert,69387,34
6025,Place d'Helvétie,Place d'Helvétie,45.77318631,4.841959335,Vert,69386,30
3094,Villette,"74, Rue de la Villette",45.75778788,4.861497365,Vert,69383,38
5044,Champvert,"67, Rue Edmond Locard",45.76007858,4.798407615,Vert,69385,15
3069,Dauphiné / Saint-Maximin,"10, rue du Dauphiné",45.74994623,4.864650384,Vert,69383,30
10006,Charpennes,Place Charles Hernu,45.77022677,4.863132722,Vert,69266,46
9011,Conservatoire,"Face 40, Quai Chauveau",45.76978221,4.81267622,Vert,69389,19
10055,Condorcet / Galline,"Face 16, Avenue Galline",45.77645357,4.867114922,Vert,69266,15
4012,Place Adrien Godien,"38, Cours d'Herbouville",45.77876758,4.841069562,Vert,69384,30
11004,Branly / Pasteur,"75, Rue Pasteur",45.79158966,4.843331316,Vert,69034,15
3009,Musée Africain,"Face 150, Cours Gambetta",45.75025331,4.85792503,Vert,69383,22
16001,Vénissieux - Place Romand,Place Ennemond Romand,45.72575473,4.858350998,Vert,69259,20
7038,Place Stalingard,Place Stalingrad,45.74957888,4.852965505,Vert,69387,13
3066,Kimmerling - Faure,"139, Avenue Félix Faure",45.75430081,4.863464102,Vert,69383,19
9052,Balmont,"332, Boulevard de Balmont",45.78931519,4.799160341,Vert,69389,12
7036,Gryphe / Montesquieu,"37, Rue Sébastien Gryphe",45.75191144,4.843786405,Vert,69387,25
9029,Saint Pierre de Vaise,Place Vanderpol,45.77309957,4.807813722,Vert,69389,15
3099,Place Sainte Anne,"2, Place Saint Anne",45.75704727,4.865331803,Vert,69383,18
8033,Berthelot / Cazeneuve,11 Rue Paul Cazeneuve,45.73733371,4.865494313,Vert,69388,20
4025,Chazière,"25, Rue Chazière",45.77542247,4.81788993,Vert,69384,20
10113,Gare de Villeurbanne,"52, Rue du Poizat",45.75576427,4.891530168,Vert,69266,22
10110,Mémoire et Société,Rue Hauy,45.75957766,4.882708121,Vert,69266,24
5053,Saint-Just,"Face 8, Rue de Trion",45.75596664,4.818906448,Vert,69385,18
6012,Place Puvis de Chavannes,Place Puvis de Chavannes,45.77175709,4.844603636,Vert,69386,10
8009,Jean XXIII / Mermoz,"Face 74, Boulevard Jean XXIII",45.73647961,4.869805432,Vert,69388,20
10073,Institut d'Art contemporain,"21, Rue Docteur Dolard",45.76144964,4.872465505,Vert,69266,25
3005,Saxe / Gambetta,"1, Place Victor Basch",45.75378587,4.848042426,Vert,69383,26
10121,Parc du Centre,"34, Rue Billon",45.77191193,4.879070707,Vert,69266,16
10058,Métro Flachet,"276, Cours Emile Zola",45.76709095,4.892428641,Vert,69266,22
8010,Place Mendès France,"93, Avenue de l'Europe",45.74005165,4.859416413,Vert,69388,20
3067,Hachette,"2, Rue Jean Renoir",45.75291602,4.863852689,Vert,69383,15
7055,Servant / Jaboulay,"30, Rue Renan",45.74676623,4.842050699,Vert,69387,16
17002,Saint Fons - 4 chemins,Place des Quatre Chamins,45.70844373,4.854861078,Vert,69199,11
21001,La Mulatière - Aquarium,Rue Stéphane Déchant,45.72736933,4.814635477,Vert,69142,24
5002,Place des Compagnons de la chanson,Place des Compagnons de la chanson,45.75652734,4.796612179,Vert,69385,18
10084,Doua / Avenue des Arts,"2, Avenue des Arts",45.78351368,4.87127311,Vert,69266,30
9042,Vaise Docks,"Face 50, Rue des Docks",45.78650844,4.811441217,Vert,69389,19
7013,Halle Tony Garnier,"8, Avenue Tony Garnier",45.73084224,4.823740407,Vert,69387,20
14003,Bron - Place Curial,"70, Avenue Mal. de Lattre de Tassigny",45.73667442,4.917100486,Vert,69029,25
11003,Caluire / La Rochette,Place de la Rochette,45.79167018,4.823597024,Vert,69034,20
3039,Place Bir-Hakeim,"Face 2, Place Bir-Hakeim",45.75259214,4.855710149,Vert,69383,19
3053,Gambetta / Jusserand,"97, Avenue Jules Jusserand",45.75111241,4.855585088,Vert,69383,13
2024,République / Maupin,"9, Rue Maupin",45.75873908,4.834076515,Vert,69382,25
1035,Quai Lassagne,"3, Quai André Lassagne",45.77220147,4.837911793,Vert,69381,16
2014,Jacobins,"1, Rue Jean de Tournes",45.7607517,4.834304229,Vert,69382,26
6037,Cité Internationale / Interpol,Allée Achille Lignon,45.78230611,4.849343981,Vert,69386,27
2017,République / Ferrandière,"Face 30, Rue Ferrandière",45.762174,4.835970694,Vert,69382,25
10023,Jaurès / Saint Exupéry,"54, Rue Jean Jaurès",45.75765232,4.883470951,Vert,69266,25
8058,Longefer / Krüger,"10, rue Paul Kruger",45.73867144,4.878117422,Vert,69388,16
7014,Marseille / Félissent,"3, Rue Félissent",45.75298634,4.841415287,Vert,69387,30
8007,Frères Lumière,Rue des Frères Lumières,45.74501776,4.866432601,Vert,69388,15
16002,Vénissieux - Levy - Vienne,"1, Avenue du Docteur Georges Lévy",45.71939881,4.854801576,Vert,69259,18
10059,Anatole France / Zola,"Face 145, Rue Anatole France",45.76887632,4.884241513,Vert,69266,13
8040,Ambroise Paré,"39, Boulevard Ambroise Paré",45.73629951,4.883681688,Vert,69388,24
3071,BioParc,"60, Avenue Rockefeller",45.740486,4.888082508,Orange,69383,20
9014,Quai du Commerce,"12, Quai du Commerce",45.78348566,4.811487843,Gris,69389,23
1016,Pêcherie,"6, Rue de la Platière",45.76595473,4.831178125,Vert,69381,17
5032,Ménival / Eisenhower,"43, Avenue de Ménival",45.75675523,4.783245908,Bleu,69385,12
10074,Zola / Passage Rey,"141, Cours Emile Zola",45.77009784,4.876690418,Orange,69266,19
10115,Place d'Espagne / Stade Kruger,"143, Avenue Paul Kruger",45.7541767,4.905299189,Vert,69266,22
10030,Greuze,"2, Rue Greuze",45.77384944,4.89384481,Vert,69266,18
6005,Place Edgar Quinet,"6, Place Edgar Quinet",45.76576559,4.844731893,Vert,69386,20
10102,Doua / Gaston Berger,Avenue Gaston Berger,45.78099407,4.871222321,Orange,69266,30
6023,Quai Sarrail,"Face 4, Quai Général Sarrail",45.76682962,4.841139339,Vert,69386,14
1020,Terreaux / Chenavard,"11, Rue Chenavard",45.7667671,4.832931488,Vert,69381,18
8020,Moulin à Vent,2 Rue du Moulin à Vent,45.72967613,4.854181941,Vert,69388,22
8059,Laënnec / Pinel,Rue Paradin,45.73537251,4.889538926,Orange,69388,15
1003,Place Sathonay,"4, Place Sathonay",45.76926585,4.830079789,Bleu,69381,15
2009,Confluence / Docks,"41, Quai Rambaud",45.73962759,4.815025931,Vert,69382,26
10039,Bouvier,"Face 2, Rue du Professeur Emile Bouvier",45.77946431,4.891580951,Vert,69266,16
6006,Boulevard des Belges,"49, Boulevard des Belges",45.77332704,4.851989499,Vert,69386,15
10002,INSA,Avenue Albert Einstein,45.78221651,4.876955025,Vert,69266,40
7016,Place St Louis,Rue de la Madeleine,45.74908036,4.847739943,Vert,69387,15
