comune,comuneLabel,cordinate,comuneLabelCapital
http://www.wikidata.org/entity/Q16192,Ruffey-lès-Beaune,Point(4.913888888 47.018888888),RUFFEY-LèS-BEAUNE
http://www.wikidata.org/entity/Q16193,Sainte-Marie-la-Blanche,Point(4.891111111 46.977777777),SAINTE-MARIE-LA-BLANCHE
http://www.wikidata.org/entity/Q16194,Tailly,Point(4.814166666 46.969166666),TAILLY
http://www.wikidata.org/entity/Q16195,Vignoles,Point(4.887777777 47.030277777),VIGNOLES
http://www.wikidata.org/entity/Q16238,Thorey-sur-Ouche,Point(4.695833333 47.146666666),THOREY-SUR-OUCHE
http://www.wikidata.org/entity/Q16239,Veilly,Point(4.598888888 47.126944444),VEILLY
http://www.wikidata.org/entity/Q16246,Veuvey-sur-Ouche,Point(4.715555555 47.184722222),VEUVEY-SUR-OUCHE
http://www.wikidata.org/entity/Q16248,Vic-des-Prés,Point(4.641944444 47.104444444),VIC-DES-PRéS
http://www.wikidata.org/entity/Q16255,Saint-Martin-de-la-Mer,Point(4.234166666 47.236111111),SAINT-MARTIN-DE-LA-MER
http://www.wikidata.org/entity/Q16256,Marcheseuil,Point(4.348888888 47.144166666),MARCHESEUIL
http://www.wikidata.org/entity/Q16257,Ménessaire,Point(4.147777777 47.135),MéNESSAIRE
http://www.wikidata.org/entity/Q16259,Manlay,Point(4.341666666 47.128888888),MANLAY
http://www.wikidata.org/entity/Q16260,Liernais,Point(4.282222222 47.206666666),LIERNAIS
http://www.wikidata.org/entity/Q16261,Diancey,Point(4.362777777 47.181666666),DIANCEY
http://www.wikidata.org/entity/Q16262,Censerey,Point(4.354166666 47.202777777),CENSEREY
http://www.wikidata.org/entity/Q16263,Brazey-en-Morvan,Point(4.289722222 47.173055555),BRAZEY-EN-MORVAN
http://www.wikidata.org/entity/Q16264,Blanot,Point(4.236111111 47.172222222),BLANOT
http://www.wikidata.org/entity/Q16265,Bard-le-Régulier,Point(4.316111111 47.145555555),BARD-LE-RéGULIER
http://www.wikidata.org/entity/Q16278,Savilly,Point(4.280277777 47.126111111),SAVILLY
http://www.wikidata.org/entity/Q16279,Sussey,Point(4.363055555 47.223333333),SUSSEY
http://www.wikidata.org/entity/Q16280,Vianges,Point(4.324722222 47.161111111),VIANGES
http://www.wikidata.org/entity/Q16281,Villiers-en-Morvan,Point(4.255277777 47.146111111),VILLIERS-EN-MORVAN
http://www.wikidata.org/entity/Q16300,Aubigny-la-Ronce,Point(4.609722222 46.987222222),AUBIGNY-LA-RONCE
http://www.wikidata.org/entity/Q16301,Baubigny,Point(4.688055555 46.976388888),BAUBIGNY
http://www.wikidata.org/entity/Q16302,Chassagne-Montrachet,Point(4.728333333 46.936944444),CHASSAGNE-MONTRACHET
http://www.wikidata.org/entity/Q16303,Cormot-le-Grand,Point(4.643611111 46.9625),CORMOT-LE-GRAND
http://www.wikidata.org/entity/Q16304,Corpeau,Point(4.751944444 46.928888888),CORPEAU
http://www.wikidata.org/entity/Q16305,Ivry-en-Montagne,Point(4.636111111 47.029444444),IVRY-EN-MONTAGNE
http://www.wikidata.org/entity/Q16306,Jours-en-Vaux,Point(4.577777777 47.036666666),JOURS-EN-VAUX
http://www.wikidata.org/entity/Q16307,Molinot,Point(4.588333333 47.014166666),MOLINOT
http://www.wikidata.org/entity/Q16308,Nolay,Point(4.633888888 46.951666666),NOLAY
http://www.wikidata.org/entity/Q16309,Puligny-Montrachet,Point(4.754166666 46.945833333),PULIGNY-MONTRACHET
http://www.wikidata.org/entity/Q16323,Saint-Aubin,Point(4.709444444 46.950277777),SAINT-AUBIN
http://www.wikidata.org/entity/Q16324,Saint-Romain,Point(4.710555555 46.999722222),SAINT-ROMAIN
http://www.wikidata.org/entity/Q16325,Santenay,Point(4.6975 46.912777777),SANTENAY
http://www.wikidata.org/entity/Q16326,Santosse,Point(4.629722222 47.005277777),SANTOSSE
http://www.wikidata.org/entity/Q16327,Thury,Point(4.524166666 47.033611111),THURY
http://www.wikidata.org/entity/Q16328,Vauchignon,Point(4.644166666 46.976111111),VAUCHIGNON
http://www.wikidata.org/entity/Q16329,La Rochepot,Point(4.678888888 46.958055555),LA ROCHEPOT
http://www.wikidata.org/entity/Q16598,Arcenant,Point(4.845833333 47.139444444),ARCENANT
http://www.wikidata.org/entity/Q16599,Boncourt-le-Bois,Point(4.993055555 47.136944444),BONCOURT-LE-BOIS
http://www.wikidata.org/entity/Q16600,Chaux,Point(4.905833333 47.13),CHAUX
http://www.wikidata.org/entity/Q16601,Comblanchien,Point(4.921388888 47.101666666),COMBLANCHIEN
http://www.wikidata.org/entity/Q16602,Corgoloin,Point(4.914444444 47.083888888),CORGOLOIN
http://www.wikidata.org/entity/Q16604,Flagey-Echézeaux,Point(4.980833333 47.166111111),FLAGEY-ECHéZEAUX
http://www.wikidata.org/entity/Q16605,Fussey,Point(4.835833333 47.118888888),FUSSEY
http://www.wikidata.org/entity/Q16606,Agencourt,Point(4.980833333 47.128055555),AGENCOURT
http://www.wikidata.org/entity/Q16607,Gerland,Point(5.006388888 47.094444444),GERLAND
http://www.wikidata.org/entity/Q16608,Argilly,Point(5.012222222 47.068333333),ARGILLY
http://www.wikidata.org/entity/Q16618,Gilly-lès-Cîteaux,Point(4.980277777 47.172777777),GILLY-LèS-CîTEAUX
http://www.wikidata.org/entity/Q16619,Magny-lès-Villers,Point(4.875 47.096944444),MAGNY-LèS-VILLERS
http://www.wikidata.org/entity/Q16620,Marey-lès-Fussey,Point(4.857777777 47.119722222),MAREY-LèS-FUSSEY
http://www.wikidata.org/entity/Q16621,Meuilley,Point(4.875833333 47.141388888),MEUILLEY
http://www.wikidata.org/entity/Q16622,Nuits-Saint-Georges,Point(4.950277777 47.1375),NUITS-SAINT-GEORGES
http://www.wikidata.org/entity/Q16623,Premeaux-Prissey,Point(4.934722222 47.112222222),PREMEAUX-PRISSEY
http://www.wikidata.org/entity/Q16624,Quincey,Point(4.971666666 47.110277777),QUINCEY
http://www.wikidata.org/entity/Q16625,Saint-Bernard,Point(5.016666666 47.157222222),SAINT-BERNARD
http://www.wikidata.org/entity/Q16626,Saint-Nicolas-lès-Cîteaux,Point(5.054444444 47.114722222),SAINT-NICOLAS-LèS-CîTEAUX
http://www.wikidata.org/entity/Q16627,Villars-Fontaine,Point(4.891388888 47.149166666),VILLARS-FONTAINE
http://www.wikidata.org/entity/Q16637,Villebichot,Point(5.043888888 47.139722222),VILLEBICHOT
http://www.wikidata.org/entity/Q16638,Villers-la-Faye,Point(4.878055555 47.105833333),VILLERS-LA-FAYE
http://www.wikidata.org/entity/Q16639,Villy-le-Moutier,Point(4.9925 47.0375),VILLY-LE-MOUTIER
http://www.wikidata.org/entity/Q16713,Arconcey,Point(4.455277777 47.218611111),ARCONCEY
http://www.wikidata.org/entity/Q16714,Bellenot-sous-Pouilly,Point(4.546388888 47.283055555),BELLENOT-SOUS-POUILLY
http://www.wikidata.org/entity/Q16715,Beurey-Bauguay,Point(4.423888888 47.2325),BEUREY-BAUGUAY
